target,text,num_characters,num_words,num_sentences
0,go jurong point crazi avail bugi n great world la e buffet cine got amor wat,111,24,2
0,ok lar joke wif u oni,29,8,2
1,free entri 2 wkli comp win fa cup final tkt 21st may text fa 87121 receiv entri question std txt rate c appli 08452810075over18,155,37,2
0,u dun say earli hor u c alreadi say,49,13,1
0,nah think goe usf live around though,61,15,1
1,freemsg hey darl 3 week word back like fun still tb ok xxx std chg send rcv,150,39,4
0,even brother like speak treat like aid patent,77,18,2
0,per request mell oru minnaminungint nurungu vettam set callertun caller press 9 copi friend callertun,160,31,2
1,winner valu network custom select receivea prize reward claim call claim code kl341 valid 12 hour,160,32,5
1,mobil 11 month u r entitl updat latest colour mobil camera free call mobil updat co free 08002986030,154,31,3
0,gon na home soon want talk stuff anymor tonight k cri enough today,109,28,2
1,six chanc win cash 100 pound txt csh11 send cost 6day tsandc appli repli hl 4 info,136,31,3
1,urgent 1 week free membership prize jackpot txt word claim 81010 c lccltd pobox 4403ldnw1a7rw18,158,32,3
0,search right word thank breather promis wont take help grant fulfil promis wonder bless time,196,41,3
0,date sunday,35,10,2
1,xxxmobilemovieclub use credit click wap link next txt messag click http,149,28,2
0,oh k watch,26,9,1
0,eh u rememb 2 spell name ye v naughti make v wet,81,22,3
0,fine way u feel way gota b,62,14,2
1,england v macedonia dont miss news txt ur nation team 87077 eg england 87077 tri wale scotland poboxox36504w45wq,158,28,2
0,serious spell name,41,9,1
0,go tri 2 month ha ha joke,52,11,1
0,pay first lar da stock comin,54,13,1
0,aft finish lunch go str lor ard 3 smth lor u finish ur lunch alreadi,88,23,3
0,ffffffffff alright way meet sooner,57,13,2
0,forc eat slice realli hungri tho suck mark get worri know sick turn pizza lol,144,35,6
0,lol alway convinc,30,6,1
0,catch bu fri egg make tea eat mom left dinner feel love,134,34,5
0,back amp pack car let know room,75,22,1
0,ahhh work vagu rememb feel like lol,64,16,5
0,wait still clear sure sarcast x want live us,130,30,1
0,yeah got 2 v apologet n fallen actin like spoilt child got caught till 2 wo go badli cheer,189,48,6
0,k tell anyth,29,7,1
0,fear faint housework quick cuppa,84,18,2
1,thank subscript rington uk mobil charg pleas confirm repli ye repli charg,161,30,2
0,yup ok go home look time msg xuhui go learn 2nd may lesson 8am,124,30,1
0,oop let know roommat done,47,12,1
0,see letter b car,28,8,1
0,anyth lor u decid,27,6,1
0,hello saturday go text see decid anyth tomo tri invit anyth,155,37,4
0,pl go ahead watt want sure great weekend abiola,82,20,4
0,forget tell want need crave love sweet arabian steed mmmmmm yummi,142,35,4
1,07732584351 rodger burn msg tri call repli sm free nokia mobil free camcord pleas call 08000930705 deliveri tomorrow,172,34,2
0,see,19,5,1
0,great hope like man well endow lt gt inch,72,22,3
0,call messag miss call,32,7,1
0,get hep b immunis nigeria,45,10,1
0,fair enough anyth go,31,7,1
0,yeah hope tyler ca could mayb ask around bit,67,16,1
0,u know stubborn even want go hospit kept tell mark weak sucker hospit weak sucker,148,37,4
0,think first time saw class,58,14,2
0,gram usual run like lt gt half eighth smarter though get almost whole second gram lt gt,124,35,1
0,k fyi x ride earli tomorrow morn crash place tonight,80,17,1
0,wow never realiz embarass accomod thought like sinc best could alway seem happi sorri give sorri offer sorri room embarass,291,69,6
1,sm ac sptv new jersey devil detroit red wing play ice hockey correct incorrect end repli end sptv,120,27,5
0,know mallika sherawat yesterday find lt url gt,76,20,2
1,congrat 1 year special cinema pass 2 call 09061209465 c suprman v matrix3 starwars3 etc 4 free 150pm dont miss,161,37,7
0,sorri call later meet,34,9,1
0,tell reach,22,4,1
0,ye gauti sehwag odi seri,40,10,1
0,gon na pick 1 burger way home ca even move pain kill,108,29,3
0,ha ha ha good joke girl situat seeker,48,11,2
0,part check iq,25,6,1
0,sorri roommat took forev ok come,56,14,1
0,ok lar doubl check wif da hair dresser alreadi said wun cut v short said cut look nice,110,26,2
1,valu custom pleas advis follow recent review mob award bonu prize call 09066364589,155,31,2
0,today dedic day song u dedic send ur valuabl frnd first rpli,124,29,2
1,urgent ur award complimentari trip eurodisinc trav aco entry41 claim txt di 87121 morefrmmob shracomorsglsuplt 10 ls1 3aj,165,34,3
1,hear new come ken stuff,80,20,2
0,plane give month end,34,9,1
0,wah lucki man save money hee,46,11,1
0,finish class,29,6,1
0,hi babe im home wan na someth xx,45,12,2
0,k k perform,42,14,1
0,u call,20,6,1
0,wait machan call free,43,11,2
0,that cool gentleman treat digniti respect,73,16,2
0,like peopl much shi pa,50,14,1
0,oper lt gt,42,13,1
0,still look job much ta earn,76,20,3
0,sorri call later,22,6,1
0,call ah,32,9,1
0,ok way home hi hi,32,10,1
0,place man,36,9,1
0,yup next stop,14,4,1
0,call later network urgnt sm,55,16,2
0,real u get yo need 2 ticket one jacket done alreadi use multi,121,30,3
0,ye start send request make pain came back back bed doubl coin factori got ta cash nitro,144,36,3
0,realli still tonight babe,42,10,1
0,ela il download come wen ur free,41,11,1
0,yeah stand close catch someth,68,12,2
